variable,level,smd_unweighted,smd_weighted
age,continuous,0.06933432839408822,-0.03175647192600811
grid_hour,continuous,-0.1511470150306492,-0.0035637382516885445
comorbidity_count,continuous,0.0,0.0
map_median_2h,continuous,0.01946198628393365,0.0011782027506742907
map_min_2h,continuous,0.014778463617787887,0.04764665244179008
heart_rate,continuous,-0.002263825425674272,0.0028729769649946313
fio2,continuous,-0.0970255585832376,0.006726467539681097
peep,continuous,-0.030362664819701762,-0.03210747131995836
rass,continuous,-0.057444407909899034,-0.01700661699685119
gcs_motor,continuous,-0.010865567408268535,-0.0058298264805452795
icp_latest,continuous,0.08927471463611751,0.04431050804111753
temperature_c,continuous,0.007332158405976718,0.03126879728243594
lactate,continuous,0.03436113406385124,0.015899368508047688
creatinine,continuous,-0.04433089259014439,-0.062127292524143646
paco2,continuous,-0.01345595908359861,0.04394240795462477
pao2_fio2,continuous,0.02607202413328142,-0.04697512293324415
abi_subtype,AIS,0.056698185671361236,-0.06068009451410743
abi_subtype,ICH,0.0014333702261676857,-0.06960266533853743
abi_subtype,SAH,0.020254039901491175,0.08523495825982072
abi_subtype,TBI,-0.06736005385021818,0.0371270745290881
gender,Female,-0.015184077355763477,-0.03210073105071169
gender,Male,0.010700204372115421,0.029540759395508286
gender,Other,0.01536940496508513,0.014368201259810467
gender,Unknown,0.02175985140942731,0.009509018850331463
baseline_drug_count,1,-0.09066049321952398,-4.57789509449843e-16
baseline_drug_count,2,0.08918055625958986,-2.875657354768988e-17
baseline_drug_count,3,0.01536940496508513,-4.175235222099585e-18
propofol_active,0,-0.08670222755949968,-0.044886089326433655
propofol_active,1,0.08670222755949966,0.044886089326433495
midazolam_active,0,0.11903265285618199,0.0024804538927128525
midazolam_active,1,-0.11903265285618199,-0.0024804538927133035
dexmed_active,0,-0.10310929103444665,0.04977509727836942
dexmed_active,1,0.10310929103444681,-0.04977509727837029
vasopressor_observed,0,-0.04351332846113623,0.07600169828666435
vasopressor_observed,1,0.04351332846113624,-0.07600169828666484
opioid_observed,0,0.10620276923641798,0.06900959866787783
opioid_observed,1,-0.10620276923641798,-0.06900959866787783
diabetes,0,0.0,0.0
ckd,0,0.0,0.0
chf,0,0.0,0.0
