risk_continue,risk_early,risk_difference,risk_ratio,seed,converged
0.578781022654168,0.6757866379744912,0.09700561532032326,1.1676033102735053,2009054558,1
0.6047613932815535,0.6604555574169616,0.055694164135408064,1.092092790237817,282013783,1
0.5850672070294349,0.6406768226020004,0.055609615572565496,1.0950482524134493,657923053,1
0.6396061292496112,0.6653712124120832,0.025765083162471947,1.0402827333638902,362386734,1
0.6711146109262157,0.7487791152389122,0.07766450431269645,1.115724651271577,1165705615,1
0.6280915370994883,0.6465452775498426,0.018453740450354306,1.0293806545071014,1045255769,1
0.616092433132428,0.6694065518133651,0.05331411868093705,1.086535908921766,804791908,1
0.6548430813151599,0.6500699004959432,-0.004773180819216738,0.9927109547990788,543519591,1
0.6080821071098548,0.6265353106419379,0.01845320353208313,1.0303465655646227,1851261229,1
0.5955977013477631,0.6395055958961059,0.04390789454834276,1.0737207253301762,1735035067,1
0.6288041867754801,0.6496807287237366,0.0208765419482565,1.0332003863640156,1634666798,1
0.6104532037011193,0.6492972569383905,0.03884405323727114,1.0636315003373942,1780626713,1
0.6298342084039402,0.6730279803650676,0.04319377196112739,1.0685795902870765,1911159165,1
0.6980529903854457,0.7306329682829816,0.03257997789753597,1.0466726428312358,554025185,1
0.6341275713771991,0.6575725945064074,0.023445023129208264,1.0369720923477437,949557735,1
0.6233111249446425,0.6866658138522901,0.06335468890764762,1.1016421597051942,1711235484,1
0.6174264213753028,0.6632754183180732,0.04584899694277045,1.0742582360512576,333956855,1
0.6863006738325553,0.6953148204026488,0.009014146570093473,1.013134398542486,1965940362,1
0.6045917879278254,0.6592338318783347,0.05464204395050931,1.0903784091044126,1572416153,1
0.5908880371860071,0.6100221141866207,0.019134077000613536,1.0323818994402663,1551370829,1
0.6946635618108342,0.6965306938864256,0.0018671320755914156,1.0026878221030109,278939283,1
0.6322751657997038,0.6849733269345978,0.052698161134894006,1.0833468780451645,177132852,1
0.5686402285268913,0.6442682667707883,0.07562803824389697,1.132998044193633,284439619,1
0.6081555896418942,0.6412982317414874,0.03314264209959317,1.0544969785102343,1326447383,1
0.6517225120890414,0.684670091515857,0.03294757942681559,1.0505546130686891,1110836607,1
0.637123447071353,0.676281825731385,0.03915837866003191,1.0614612110730348,244707549,1
0.6503742956023572,0.7199143469461744,0.06954005134381724,1.106923123828889,1649068400,1
0.5732883368598499,0.6751895708067471,0.10190123394689721,1.1777486604821836,2086797484,1
0.6624265532879655,0.6717654155968691,0.009338862308903573,1.014097958879441,867744562,1
0.6537363329506162,0.7482778395870406,0.09454150663642447,1.144617182602831,830106870,1
0.6607304859316797,0.6860559485601685,0.025325462628488782,1.0383294901139275,1442385369,1
0.6819171472296803,0.6704345218285361,-0.011482625401144197,0.9831612602091135,1230063991,1
0.5952327990047453,0.6317011164205009,0.03646831741575551,1.0612673183949743,223242362,1
0.5617124612502042,0.6923944955363321,0.1306820342861279,1.2326493416138014,2104558867,1
0.6089392328234279,0.6738464809624427,0.06490724813901483,1.1065906820259612,381660724,1
0.5937189847192452,0.6738398262288011,0.0801208415095559,1.1349474137961801,177105745,1
0.568169634719122,0.5972654822843274,0.029095847565205446,1.0512097898008737,1932477445,1
0.6628212024639885,0.7152227469655079,0.05240154450151946,1.079058340781376,1472101805,1
0.7345738731977028,0.6834840817948807,-0.051089791402822105,0.9304497569721326,131521994,1
0.5985353746741513,0.6448145759168628,0.046279201242711454,1.077320745274089,1814163125,1
0.6815565699562147,0.7009353476121613,0.019378777655946533,1.0284331169416965,1743278914,1
0.640263200648493,0.7119955503053611,0.07173234965686814,1.1120357215348529,985525944,1
0.5828871732588486,0.6566544502986781,0.07376727703982944,1.126554984264632,1690596168,1
0.5880525717525167,0.6891542842477694,0.10110171249525268,1.1719263163732945,1171252468,1
0.6224282942866359,0.6897139286542727,0.06728563436763679,1.108101824716617,1278888285,1
0.6431275240546407,0.6185983230730231,-0.024529200981617594,0.9618595067631819,296219515,1
0.6589436840059429,0.678614326292474,0.019670642286531037,1.0298517806058123,533280846,1
0.5593299556295218,0.6411345738427295,0.08180461821320772,1.146254670235098,1993955333,1
0.6233749524823815,0.6136684525047648,-0.009706499977616745,0.9844291145498165,1494104062,1
0.6365984538833527,0.6967530525269326,0.06015459864357997,1.0944937869022886,1246678520,1
0.6488264730003968,0.6604974181421559,0.011670945141759148,1.0179877758189932,1493574918,1
0.6131104736297797,0.5946179273564242,-0.018492546273355503,0.9698381497809446,1399716761,1
0.6213371564384494,0.695981769911266,0.07464461347281659,1.120135441280681,1438023187,1
0.6275291889949453,0.6709810237388915,0.043451834743946205,1.069242730865697,1048006981,1
0.6293651041536881,0.6668997286515522,0.037534624497864155,1.0596388713802893,1113996643,1
0.6381532760002865,0.7098889049111294,0.07173562891084295,1.11241128363464,100126794,1
0.6150998340093343,0.5902680822794735,-0.02483175172986085,0.959629721295805,260586907,1
0.5963274168654857,0.6811132275386266,0.08478581067314084,1.1421799640184347,1534643166,1
0.6009361057465534,0.6103936204661071,0.009457514719553695,1.015737970524844,1298973923,1
0.5706201233101617,0.6309038337605736,0.06028371045041192,1.1056459595233108,295399299,1
0.6149243930196095,0.6431113688828297,0.028186975863220165,1.0458381163329804,1175972750,1
0.5990065951410068,0.6449409616616477,0.04593436652064087,1.0766842416982536,1826340510,1
0.5894603361820827,0.6101031116885379,0.020642775506455213,1.035019787149985,1106694446,1
0.6341170640025103,0.6564962978726556,0.022379233870145288,1.0352919597036057,576258199,1
0.6238187865358807,0.6809586101328667,0.057139823596985995,1.0915968304101393,2006923921,1
0.5878434555878789,0.5918380622576273,0.0039946066697483795,1.006795357899755,1229093190,1
0.6173466644655752,0.6949687447203452,0.07762208025477002,1.1257349957854974,148070315,1
0.6195660377307342,0.6324632014090075,0.012897163678273316,1.0208164471466372,2065694046,1
0.5971917187548639,0.6333959780657985,0.03620425931093463,1.060624181772681,1823959902,1
0.6393922257927974,0.6625678621698455,0.023175636377048114,1.0362463530868116,1249237896,1
0.6220471103127455,0.6627159186822135,0.04066880836946796,1.065378984477592,920612429,1
0.6255561472792885,0.7128994974506951,0.0873433501714066,1.1396251168680642,160573249,1
0.57890606410016,0.64273178636432,0.06382572226416006,1.1102522951860412,889251741,1
0.5696048829341902,0.6870707791751195,0.11746589624092929,1.20622347132249,1015265317,1
0.6266373244694158,0.6500744059928445,0.023437081523428716,1.037401349406171,1759033190,1
0.5600288992892227,0.624723532636246,0.0646946333470233,1.1155201694575627,217608741,1
0.6291656526228603,0.6708910141718856,0.041725361549025286,1.066318562329461,2055528892,1
0.6127034036717243,0.6723021661790121,0.059598762507287795,1.0972717992916843,1146897252,1
0.6637966015945728,0.6586786234805948,-0.005117978113977961,0.9922898398369567,1998315017,1
0.6436746693397649,0.6814850671442604,0.037810397804495466,1.0587414723703181,925788524,1
0.58112731018043,0.6137371299677,0.03260981978727007,1.0561147604251215,458634740,1
0.6635333926361812,0.6831318919427021,0.01959849930652091,1.0295365682029312,783300937,1
0.6352931153738638,0.7236467723084784,0.08835365693461461,1.1390754201430615,1871505786,1
0.62283664368939,0.7294415372295274,0.10660489354013747,1.1711602787348228,85334556,1
0.6204120456026825,0.6761453535777913,0.05573330797510878,1.0898327303122688,1818789099,1
0.5936771149825347,0.6154283249976551,0.02175121001512037,1.0366381143321657,465313688,1
0.6283124336754736,0.7157973408349352,0.08748490715946156,1.1392379053326962,1668005629,1
0.5853302016832858,0.632185375096972,0.04685517341368628,1.0800491300106174,2139828780,1
0.6280191755915786,0.6780094887496484,0.04999031315806979,1.079599978951248,1253582294,1
0.6581827086861745,0.6793115825522973,0.021128873866122833,1.0321018367503136,1464078910,1
0.6053055364224974,0.6659351052112062,0.06062956878870884,1.1001635787887292,1148703585,1
0.5765745229622821,0.6274901898133795,0.050915666851097385,1.0883071742218275,1249461494,1
0.6014670683049267,0.6870526419013767,0.08558557359645003,1.1422946959301528,1823950133,1
0.6561642472119714,0.7146878943035316,0.058523647091560216,1.089190545416374,392937684,1
0.6531805801790387,0.6851291355721908,0.03194855539315211,1.0489122860701017,1372682505,1
0.6200815200563405,0.6957770784013098,0.07569555834496922,1.12207355951858,64087025,1
0.6268036989325092,0.6694260894638838,0.04262239053137462,1.0679995836080156,2082485191,1
0.6393084918763343,0.6922247526400913,0.052916260763756995,1.082771090070227,1455534641,1
0.593389550799486,0.6789012710374007,0.08551172023791476,1.1441072228567273,125672283,1
0.6249507181369122,0.6407870808051302,0.015836362668218085,1.0253401783670704,1280386855,1
0.6429157303750637,0.6799512724725661,0.03703554209750248,1.0576055933114232,602982073,1
0.5922597481297368,0.6277230868848237,0.03546333875508689,1.0598780161357826,1878292350,1
0.6673182689333125,0.6989894922503941,0.03167122331708161,1.0474604469733866,266232975,1
0.5953672285806401,0.6224124713765951,0.027045242795954993,1.0454261529651725,433427796,1
0.61444374148116,0.7048115759412031,0.09036783446004315,1.1470725932405221,125679394,1
0.646936864835324,0.6823571333505686,0.0354202685152446,1.0547507344851352,1069245688,1
0.5856139748788155,0.6682636699482064,0.0826496950693909,1.1411334063304996,532282780,1
0.5539750563197835,0.6365217234137674,0.08254666709398395,1.1490079131763897,976324087,1
0.5628467880195056,0.6207588969804917,0.057912108960986086,1.1028914265723395,1758293797,1
0.6448225574626063,0.6669942475942958,0.022171690131689514,1.0343841726302747,1587274483,1
0.5944118976827608,0.6573208271843223,0.06290892950156146,1.1058339002748834,1094260959,1
0.5559538920500703,0.6231142687622546,0.06716037671218433,1.1208020623158723,917289911,1
0.6769347015703552,0.6486603748236177,-0.028274326746737466,0.9582318254904844,36282696,1
0.607985018289298,0.5985165325288311,-0.009468485760466883,0.984426448883381,413267366,1
0.5807866114655048,0.623754170873418,0.04296755940791319,1.0739816630750023,1943589865,1
0.6258451018614776,0.6176793889820645,-0.008165712879413034,0.9869525017370506,1470582839,1
0.6464387815588162,0.6573674631644127,0.010928681605596569,1.016905980763164,318647803,1
0.6488796545032389,0.6751552440468159,0.026275589543577005,1.0404937793336928,1625524329,1
0.6354206763439353,0.6705725667687499,0.03515189042481459,1.0553206587910713,1525440487,1
0.6154443798022765,0.6980861543029782,0.08264177450070165,1.1342798426841625,1879544292,1
0.6838649047114038,0.6935456108940657,0.009680706182661925,1.0141558751092035,101604152,1
0.6712843830188294,0.663712143802419,-0.00757223921641037,0.9887197744980193,989692176,1
0.5756905974745805,0.6311813387537997,0.05549074127921916,1.0963898690071439,924832517,1
0.6596973104328395,0.6870904950992862,0.02739318466644669,1.0415238689520707,1217273096,1
0.6251899090537913,0.6665732427219053,0.041383333668113975,1.0661932207619067,495057930,1
0.6190943597422472,0.6500637500213483,0.03096939027910106,1.0500236996053312,494866354,1
0.5860175964302435,0.6645816488710949,0.0785640524408514,1.1340643231865875,34942959,1
0.6866463122264792,0.6882378112542507,0.001591499027771448,1.0023177857354406,806861845,1
0.5797592583928025,0.6531600063896791,0.07340074799687657,1.1266055641790986,1113096317,1
0.5823479183747841,0.6596031908938106,0.07725527251902653,1.1326617131810661,592381950,1
0.5891538344752995,0.5992312729679913,0.010077438492691826,1.0171049357620947,2064626154,1
0.6055869732135626,0.6398452104401569,0.03425823722659427,1.0565703007857024,665274014,1
0.6729879050261633,0.6838338970442341,0.010845992018070794,1.0161161767352256,1505529161,1
0.5584577659968079,0.6565791159807799,0.09812134998397204,1.1757005738989632,856370458,1
0.6018228794972257,0.6142980756177217,0.012475196120495968,1.0207290160369409,1124079314,1
0.5912218055601722,0.6435862443162312,0.052364438756059006,1.0885698705013842,1389080259,1
