interval_index,strategy,model,n_at_risk_clones,observed_adherence,mean_predicted,brier_score,auc,calibration_intercept,calibration_slope,probability_floor_count,probability_ceiling_count
1,continue_24h,denominator_adherence,2192,0.4279197080291971,0.42797064883931246,0.23016055367295568,0.6387508799134879,0.0003457163886740526,1.0023681409404217,1,0
1,early_deescalation,denominator_adherence,2192,0.22308394160583941,0.22316129676185398,0.16862886597559962,0.6081340879261545,0.0055858905466916724,1.0050381722986266,1,0
2,continue_24h,denominator_adherence,876,0.567351598173516,0.5673286315997219,0.22830910678168695,0.6492092396065045,-0.004338913728995653,1.0174529665714205,0,3
2,early_deescalation,denominator_adherence,443,0.5395033860045146,0.5394481560758524,0.22319034779524094,0.6785421281483305,-0.006655866539586585,1.0506653474797572,1,2
3,continue_24h,denominator_adherence,474,0.6329113924050633,0.6329305069973533,0.21534109688030154,0.6543869731800767,-0.005197325994550933,1.009872101719421,0,1
3,early_deescalation,denominator_adherence,222,0.6396396396396397,0.6396037950802113,0.1900014423925414,0.7335387323943663,-0.027796270603310927,1.0524981121003458,2,4
4,continue_24h,denominator_adherence,287,0.6759581881533101,0.6758504828396422,0.18079620306477667,0.7472564017292983,-0.020898150221526034,1.0336739037502598,1,5
4,early_deescalation,denominator_adherence,129,0.689922480620155,0.6897691569676763,0.13916677865014063,0.8398876404494382,-0.05838332358197719,1.105546017897008,1,5
