variable,level,smd_unweighted,smd_weighted
age,continuous,0.07253935410712267,-0.018517520435156674
grid_hour,continuous,-0.14669780602410176,0.005506279988785622
comorbidity_count,continuous,0.0,0.0
map_median_2h,continuous,0.025120938520090477,0.007599021071241364
map_min_2h,continuous,0.00750327685089575,-0.002720430033650519
heart_rate,continuous,0.023527173140866345,0.030190351094758837
fio2,continuous,-0.13257857666873188,0.0026861275193387347
peep,continuous,-0.03180360254792084,-0.021401610385068465
rass,continuous,-0.06351024161732545,-0.0019344844362589285
gcs_motor,continuous,0.020606023047908824,0.021785555621915448
icp_latest,continuous,0.09299165216225175,0.017290174009185706
temperature_c,continuous,0.000918119246995244,0.012023462860362466
lactate,continuous,0.013589361427873406,0.0033151425799884593
creatinine,continuous,-0.04952800417757648,-0.052496720841129725
paco2,continuous,0.0015176013299915726,0.06364083847258563
pao2_fio2,continuous,0.0925332634815825,7.171282413707904e-05
apache_iva_aps,continuous,0.03907705966498683,-0.042361985321191564
apache_iva_score,continuous,0.06123259570074676,-0.045211609580008
abi_subtype,AIS,0.06924987158401862,-1.1369759762352967e-16
abi_subtype,ICH,-0.0034640494382860688,2.9519746665749135e-17
abi_subtype,SAH,0.015132749679737063,0.0
abi_subtype,TBI,-0.07464002893908218,0.0
gender,Female,-0.062067433946268416,-0.037832754587111536
gender,Male,0.056433002664793376,0.03586567913760998
gender,Other,0.016900486445828106,0.011970307239946
gender,Unknown,0.023933594876381956,0.005216804377690325
baseline_drug_count,1,-0.046541696909248545,0.0
baseline_drug_count,2,0.043752404512474245,1.1184610141600409e-16
baseline_drug_count,3,0.016900486445828106,-2.6031814213547023e-17
propofol_active,0,-0.00868744601583591,-0.030865751970604417
propofol_active,1,0.00868744601583623,0.03086575197060434
midazolam_active,0,0.12073758966845081,0.07028976460721625
midazolam_active,1,-0.12073758966845093,-0.07028976460721569
dexmed_active,0,-0.15181410203865217,-0.03313700056096493
dexmed_active,1,0.15181410203865237,0.03313700056096507
vasopressor_observed,0,-0.06495362942619799,0.006272288202565264
vasopressor_observed,1,0.06495362942619802,-0.006272288202565992
opioid_observed,0,0.08188836273002377,0.09921173764317384
opioid_observed,1,-0.08188836273002364,-0.09921173764317386
diabetes,0,0.0,0.0
ckd,0,0.0,0.0
chf,0,0.0,0.0
