interval_index,strategy,model,n_at_risk_clones,observed_adherence,mean_predicted,brier_score,auc,calibration_intercept,calibration_slope,probability_floor_count,probability_ceiling_count
1,continue_24h,denominator_adherence,2761,0.41977544367982617,0.41980711335356813,0.23010950966339874,0.6350355842944378,0.0009944611230374263,1.0034807961364844,1,0
1,early_deescalation,denominator_adherence,2761,0.21839913074972836,0.21846485433260543,0.16686766945761342,0.6037675385814211,0.002312954693993735,1.0021594593887555,1,0
2,continue_24h,denominator_adherence,1081,0.5550416281221091,0.555033796777454,0.22918056815731352,0.6536451836451836,-0.002594000894386486,1.0126697452588864,0,4
2,early_deescalation,denominator_adherence,551,0.542649727767695,0.5426657700400357,0.22791007955207096,0.6556776556776557,-0.00923434077166813,1.0604160847253918,1,3
3,continue_24h,denominator_adherence,571,0.6217162872154116,0.6216948191210708,0.21695662468211593,0.6593896713615024,-0.0028126528989896177,1.0060128696556834,0,1
3,early_deescalation,denominator_adherence,280,0.6214285714285714,0.6213999859036204,0.20526305238423354,0.6895467360659293,-0.021212928212994513,1.0484571387414543,2,3
4,continue_24h,denominator_adherence,338,0.6715976331360947,0.6715594294116124,0.18790232980555002,0.7314362820970751,-0.016465616676141232,1.0261934477308212,0,5
4,early_deescalation,denominator_adherence,159,0.6792452830188679,0.6790479380140303,0.15323239665476707,0.8184458968772694,-0.03383760031243023,1.0655400864283517,0,5
