estimand,estimate,ci_lower,ci_upper,bootstrap_requested,bootstrap_converged
risk_continue,0.6352290998297401,0.5692333300971385,0.7065418062367609,1000,1000
risk_early,0.6672911108363553,0.6177714474314588,0.7357320338038115,1000,1000
risk_difference,0.03206201100661521,-0.028909376471467473,0.10448686364319817,1000,1000
risk_ratio,1.0504731458543206,0.9568874094176802,1.1803719574097455,1000,1000
