variable,level,smd_unweighted,smd_weighted
age,continuous,0.19701174288168857,0.014169021242588576
grid_hour,continuous,-0.2759622476153986,-0.07632394272289199
comorbidity_count,continuous,0.102676689452522,-0.027213163742342568
map_median_2h,continuous,-0.026119802673123707,0.018488982588188898
map_min_2h,continuous,-0.03287521370386563,0.020335127098555176
heart_rate,continuous,0.0050081715669781715,0.008160906619076898
fio2,continuous,0.011061278002925999,-0.0012790814708691768
peep,continuous,-0.2268613489146702,-0.09882790101748225
rass,continuous,-0.038280868634947014,0.029359804001077197
gcs_motor,continuous,-0.009187498555740038,0.05477471787719017
icp_latest,continuous,-0.0847981064660906,-0.02222952862048508
temperature_c,continuous,-0.06336530332512967,-0.04795157588267173
lactate,continuous,0.018731887225529043,-0.01300835709204524
creatinine,continuous,-0.005947593232209468,-0.03411843598328108
paco2,continuous,-0.026703724193532504,-0.0029258671130097135
pao2_fio2,continuous,0.04724201078762693,0.035686032482445305
abi_subtype,AIS,-0.02150139799958509,-0.027581257807808932
abi_subtype,ICH,0.023221703946205575,0.026682735230193395
abi_subtype,SAH,0.00926094521331808,-0.007496872364215563
abi_subtype,TBI,-0.004555274133968937,0.009085707184140842
gender,F,0.05824767991014884,0.0027928479444105083
gender,M,-0.05824767991014884,-0.0027928479444105083
baseline_drug_count,1,-0.08564980660290832,-0.009270147446589746
baseline_drug_count,2,0.08437959416600566,0.007638285229769125
baseline_drug_count,3,0.017098731107513785,0.017760944327394945
propofol_active,0,-0.1033002880706495,-0.0365463481365744
propofol_active,1,0.10330028807064935,0.036546348136574244
midazolam_active,0,0.044915291589023534,0.0357839040992705
midazolam_active,1,-0.04491529158902338,-0.03578390409927022
dexmed_active,0,0.017536072266460173,0.0030113449467913216
dexmed_active,1,-0.01753607226646021,-0.003011344946791156
vasopressor_observed,0,0.024895572731022046,0.04201537067796678
vasopressor_observed,1,-0.02489557273102224,-0.04201537067796666
opioid_observed,0,0.13810932278029558,0.029757569009936133
opioid_observed,1,-0.13810932278029572,-0.029757569009935907
diabetes,0,-0.0792023468722335,0.01690536684958909
diabetes,1,0.0792023468722337,-0.016905366849589227
ckd,0,-0.06600176943712349,0.013815719837554821
ckd,1,0.06600176943712355,-0.013815719837555095
chf,0,0.013516807758090636,0.023668642280635
chf,1,-0.01351680775809063,-0.023668642280635005
