risk_continue,risk_early,risk_difference,risk_ratio,stay_balanced_risk_continue,stay_balanced_risk_early,stay_balanced_risk_difference,stay_balanced_risk_ratio,seed,converged
0.41868357069057965,0.503808577321363,0.08512500663078332,1.203315851372858,0.5576320408053319,0.5789833892660424,0.021351348460710518,1.0382893142759066,881471992,1
0.44123409851865214,0.5108036237399055,0.06956952522125337,1.157670328414821,0.5604355459292981,0.5716356668212889,0.011200120891990739,1.0199846725878514,47267061,1
0.4058810477903515,0.48530591322245875,0.07942486543210725,1.1956850803074017,0.549291500473241,0.5551404989678064,0.005848998494565327,1.0106482596026447,2058589029,1
0.4189403452621333,0.4982415915774498,0.07930124631531649,1.189290067696147,0.5410381962358586,0.5668006926866697,0.02576249645081108,1.0476167794252742,661103641,1
0.42682174436430403,0.5045043965699372,0.07768265220563314,1.1820025648443273,0.5639207462780355,0.5854534977842987,0.021532751506263215,1.0381840030684857,394322850,1
0.4259373373388569,0.4956316828274932,0.06969434548863629,1.1636258185865274,0.5540893832919002,0.5831570287598934,0.02906764546799323,1.0524602101114073,988348662,1
0.4300001580586586,0.5066257555402924,0.07662559748163383,1.1781989984086958,0.5555100013966743,0.598098723750681,0.04258872235400668,1.0766659866553785,726201640,1
0.4415104571980132,0.5035685017892794,0.06205804459126618,1.1405584931897406,0.572030321443571,0.5586755964591333,-0.013354724984437683,0.9766538162684527,175132977,1
0.41341734439508476,0.49487201255033725,0.08145466815525249,1.1970276991509332,0.5435813590869685,0.5642493828678778,0.020668023780909373,1.0380219509653985,1133815285,1
0.4319710706383001,0.49023039052028866,0.05825931988198857,1.1348685683879292,0.5500195262546617,0.5581057997685306,0.008086273513868925,1.0147017935325535,1823313124,1
0.42400481031092957,0.5154297520537575,0.09142494174282795,1.2156224163489668,0.5628139329163995,0.6094560603976548,0.04664212748125529,1.0828730860296303,208690343,1
0.43938662356694613,0.5262684350013056,0.08688181143435947,1.1977343113658123,0.5757132801102407,0.603942531465686,0.028229251355445295,1.0490335247261273,1670677740,1
0.44007481959743233,0.48091798019718035,0.04084316059974802,1.0928095832365736,0.5706276588639967,0.5648155121015828,-0.005812146762413928,0.9898144671536169,643742172,1
0.4187602136497992,0.5043108488950565,0.0855506352452573,1.204295041545665,0.5525702243296637,0.5779318769121055,0.02536165258244172,1.0458976098706885,1003928796,1
0.3871915076368632,0.4922098165531847,0.10501830891632147,1.2712309202163994,0.5281520081686963,0.582362194622664,0.05421018645396769,1.1026412578491087,600894514,1
0.42614006908351704,0.5004584163772975,0.07431834729378045,1.17439887183952,0.5460622174229544,0.5738565226181062,0.027794305195151803,1.0508995208024503,1906929257,1
