interval_index,strategy,model,n_at_risk_clones,observed_adherence,mean_predicted,brier_score,auc,calibration_intercept,calibration_slope,probability_floor_count,probability_ceiling_count
1,continue_24h,denominator_adherence,9559,0.7229835756878334,0.722981266334516,0.19173649084581976,0.6226462170514102,-0.0026996809086749134,1.0029506303347802,0,<10
1,early_deescalation,denominator_adherence,9559,0.23182341249084631,0.23178891655512981,0.17214680762737572,0.6147893251314767,0.005670106747535849,1.0047392600493779,<10,0
2,continue_24h,denominator_adherence,6544,0.7747555012224939,0.7747205752482998,0.16692871591052538,0.6357562644014998,-0.0010413834896984137,1.0009589150042477,<10,10
2,early_deescalation,denominator_adherence,1765,0.7002832861189802,0.7003099449074094,0.1858930662727344,0.6967151185909789,-0.009915896123681099,1.012934389151464,0,<10
3,continue_24h,denominator_adherence,4798,0.7886619424760317,0.7887167177216756,0.15990707824221473,0.6316995467263804,-0.011372910272418567,1.0087967137174247,0,13
3,early_deescalation,denominator_adherence,1159,0.8343399482312338,0.8342997455728844,0.12266545769558618,0.7235651499482938,-0.017537973656174426,1.012822929156336,0,15
4,continue_24h,denominator_adherence,3605,0.8080443828016644,0.8080870078536024,0.14561421832210614,0.6665600090485346,-0.011453625825831613,1.0085385062780332,0,16
4,early_deescalation,denominator_adherence,905,0.8806629834254144,0.8799865635667821,0.08214256097085355,0.8420697987824713,-0.07704181741710044,1.0580318779268554,0,139
