Database,Strategy,Retained clones,Unique stays,Weight p99,Maximum weight,ESS,ESS ratio,Maximum absolute weighted SMD
MIMIC-IV v3.1,continue_24h,3999,1240,1.954780004595808,1.954780004595808,3771.805070535937,0.9431870644000842,0.0988279010174822
MIMIC-IV v3.1,early_deescalation,1658,1320,2.367143070216774,2.367143070216774,1452.5397899686209,0.8760794873152115,0.0988279010174822
eICU-CRD v2.0,continue_24h,451,240,4.030352314917715,4.748030799485608,343.2746693576032,0.761141173741914,0.0992117376431738
eICU-CRD v2.0,early_deescalation,324,237,2.872171220460056,3.117402402308412,261.6777630575225,0.8076474168442053,0.0992117376431738
